input,output
power on the lights in the bathroom & Set the exhaust to on in the kitchen. please!,"{""bathroom"": {""lights"": ""on""}, ""kitchen"": {""exhaust"": ""on""}}"
Please switch the dining_room lights to warm & in the hall turn on the tv please!,"{""dining_room"": {""lights"": ""warm""}, ""hall"": {""tv"": ""on""}}"
"Going out, shut everything down.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""exhaust"": ""off"", ""geyser"": ""off"", ""lights"": ""off""}, ""bedroom"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""dining_room"": {""ac"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""hall"": {""lights"": ""off"", ""tv"": ""off""}, ""kitchen"": {""exhaust"": ""off"", ""fan"": ""off"", ""lights"": ""off""}, ""living_room"": {""fan"": ""off"", ""lights"": ""off"", ""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""off"", ""fan"": ""off"", ""lights"": ""off""}}"
"Kindly Hey, open the blinds in the balcony please.; power on the tv in the hall please. now.","{""balcony"": {""blinds"": ""open""}, ""hall"": {""tv"": ""on""}}"
switch the bedroom lights to warm,"{""bedroom"": {""lights"": ""warm""}}"
"Please adjust the lights to bright in the bathroom; Hey, open the blinds in the bedroom please. please. now.","{""bathroom"": {""lights"": ""bright""}, ""bedroom"": {""blinds"": ""open""}}"
Please activate the exhaust in the kitchen & set the lights to dim in the study_room,"{""kitchen"": {""exhaust"": ""on""}, ""study_room"": {""lights"": ""dim""}}"
Office mode on.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Kindly Can you activate the lights in the dining_room?, also activate the tv in the hall, thanks.","{""dining_room"": {""lights"": ""on""}, ""hall"": {""tv"": ""on""}}"
in the study_room turn off the lights,"{""study_room"": {""lights"": ""off""}}"
Set up movie mode in the living room.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
"Hey, turn on the fan in the kitchen please.","{""kitchen"": {""fan"": ""on""}}"
