name,params_b,family,vendor,license,bucket,status,instruct,architecture,exact_match,valid_json,room_f1,device_value_acc,latency_ms,vram_gb_4bit,exclusion_reason,notes
SmolLM2-135M,0.135,SmolLM2,HuggingFace,Apache-2.0,Sub-1B,excluded,yes,dense,16.03,91.55,17.45,16.43,95.0,1.6,Too small to reliably emit valid multi-room JSON.,
SmolLM2-360M,0.36,SmolLM2,HuggingFace,Apache-2.0,Sub-1B,fine-tune,yes,dense,87.71,91.24,89.29,88.26,149.8,1.7,,Edge-deployment experiment: minimum viable size.
Qwen2.5-0.5B-Instruct,0.494,Qwen2.5,Alibaba,Apache-2.0,Sub-1B,fine-tune,yes,dense,92.67,91.52,93.99,93.0,154.0,1.8,,Smallest instruct model with reasonable JSON capability.
OLMo-1B,1.0,OLMo,AI2,Apache-2.0,Sub-1B,excluded,no,dense,12.12,88.17,13.5,12.45,241.2,2.1,No instruction-tuned variant; research-only tooling.,
TinyLlama-1.1B-Chat,1.1,TinyLlama,Zhang et al.,Apache-2.0,Sub-1B,excluded,yes,dense,39.01,96.7,40.64,39.48,238.2,2.2,Older arch superseded by Qwen2.5-1.5B / LLaMA-3.2-1B.,
Phi-1.5,1.3,Phi,Microsoft,MIT,Sub-1B,excluded,no,dense,18.87,87.98,20.22,19.28,286.0,2.3,Base only; needs custom chat template and more data.,
LLaMA-3.2-1B-Instruct,1.24,LLaMA-3.2,Meta,Llama 3.2 Community,1B-3B,fine-tune,yes,dense,97.05,96.6,98.53,97.37,262.7,2.2,,Smaller sibling of LLaMA-3-8B; scaling study within family.
LLaMA-3.2-3B-Instruct,3.21,LLaMA-3.2,Meta,Llama 3.2 Community,1B-3B,fine-tune,yes,dense,99.21,99.13,100.0,99.58,552.4,3.4,,LLaMA family scaling study.
Gemma-2-2B-IT,2.61,Gemma-2,Google,Gemma,1B-3B,evaluated,yes,dense,99.4,100.0,100.0,99.79,480.7,3.1,,ALREADY EVALUATED. 99.4% exact match measured on n=500.
Qwen2.5-1.5B-Instruct,1.5,Qwen2.5,Alibaba,Apache-2.0,1B-3B,fine-tune,yes,dense,97.79,99.35,99.05,98.1,315.8,2.4,,Strong on structured output for its size.
Qwen2.5-3B-Instruct,3.0,Qwen2.5,Alibaba,Apache-2.0,1B-3B,fine-tune,yes,dense,99.95,99.78,100.0,100.0,529.9,3.3,,Likely accuracy/size sweet-spot.
Phi-2,2.7,Phi,Microsoft,MIT,1B-3B,excluded,no,dense,39.61,91.25,41.06,39.83,506.2,3.1,No instruction-tuned variant.,
StableLM-2-1.6B-Zephyr,1.6,StableLM-2,Stability AI,Non-Commercial,1B-3B,excluded,yes,dense,51.62,98.8,52.97,52.16,344.1,2.5,Non-commercial license blocks product deployment.,
